Previous,上一頁
"Please enter an actual number in the ""Qty"" field.","請在""數量""欄位中輸入的實際數。"
"This product is assigned to another website.",本產品被分配給另一個網站。
"You can add only enabled products.",您可以添加只啟用的產品。
"You cannot upload this file.",你無法上載此檔。
"The file is empty.",該檔案是空的。
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","您還沒有輸入產品的 SKU。請 <a href=""%1""> 按一下此處</a> 以添加產品的 SKU。"
"You have not entered a product SKU.","您還沒有輸入產品的 SKU。"
"We can't add a product to cart by id ""%1"".","我們不能添加產品 id ""%1"" 到購物車。"
"Something went wrong while reordering this product.",本產品在重新排序時發生錯誤。
"You added %1 product to your shopping cart.","%1 件產品添加到您的購物車。"
"You added %1 products to your shopping cart.","%1 件產品添加到您的購物車。"
"%1 product requires your attention.","%1 產品需要您注意。"
"%1 products require your attention.","%1 產品需要您注意。"
"The file is corrupt.",該檔已損壞。
"Please upload the file in .csv format.","請上傳.csv 格式的檔。"
"%1 item(s) need your attention.","%1 個項目需要您的關注。"
"No item specified.",沒有指定的項目。
"Are you sure you want to remove this item?","您是否確定要刪除此項目？ "
"SKU number","SKU 編號"
"Your csv file must include ""sku"" and ""qty"" columns.","您的 csv 檔必須有""sku""和""數量""列。"
"Only <span id=""%1_max_allowed"">%2</span> in stock","只有 <span id=""%1_max_allowed"">%2</span> 的庫存"
"Products Requiring Attention",需要注意的產品
"File extensions allowed: .csv",檔副檔名允許︰.csv
"Add Row",添加行
"Add Products By SKU","添加產品的 SKU"
"Shopping Cart Management",購物車管理
"View Shopping Cart",查看購物車
"View and modify Shopping Cart",查看和修改購物車
"Order by SKU Settings","由 SKU 順序"
"Enable Order by SKU on My Account in Storefront","在店面上我的賬戶啟用 SKU 排序"
"Apply Coupon",申請優惠券
"Order by SKU Description","按SKU 描述排列"
"Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget","定義是否連結到我的帳戶 &gt; 依照SKU 排序的頁面將顯示在widget內"
"Order by SKU Template",按SKU排序的範本
"This file needs to be in .csv format.","此檔必須以.csv 格式。"
Database,資料庫
Retry,重試
"%1 item(s) have been scheduled for update.""","%1 項目已經安排更新。"""
"Bulk Actions Log",批量操作記錄
"%1 item(s) are currently being updated.",%1項目正在更新。
"%1 item(s) have been scheduled for update.","%1 項目已經安排更新。"
"%1 item(s) have been successfully updated.","%1 項目已成功更新。"
"%1 item(s) failed to update","%1 項目更新失敗"
Dismiss,忽略
"%1 items selected for mass update","大規模更新%1 項目"
", %1 successfully updated","%1 已成功更新"
", %1 failed to update","%1 更新失敗"
"Action Log",操作記錄
"Bulk Actions",批量操作
"Description of Operation",操作說明
"Items to Retry",重試項目
"To retry, select the items and click “Retry”.","要重試，請選中該項目，按一下""重試""。"
"Items That Can’t Be Updated.",不能更新的項目。
"Meta Information",元資訊
"Dismiss All Completed Tasks",關閉所有已完成的任務
"Action Details - #",操作詳細資訊-#
"Number of Records Affected",受影響的記錄數目
"Save and Apply",儲存並套用
"Catalog Price Rule",目錄價格規則
"Apply Rules",應用規則
Promotions,促銷
"We found updated rules that are not applied. Please click ""Apply Rules"" to update your catalog.","我們發現不適用的更新的規則。請按一下""應用規則""來更新您的目錄。"
"New Catalog Price Rule",新目錄價格規則
"Something went wrong while saving the rule data. Please review the error log.",保存規則資料時出了錯。請查看錯誤日誌。
Promo,促銷
"Unable to save rule %1","無法保存規則 %1"
"Rule with specified ID ""%1"" not found.","具有指定 ID""%1""找不到的規則。"
"Product Attribute",產品屬性
Inches,英吋
inch,英吋
"Add New Template",新增範本
"We can't find the role for the user you wanted.",我們找不到你想要的使用者的角色。
"Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.",編譯允許的資源列表時出錯。您可以在例外日誌中找到更多內容。
"System Backup",系統備份
"Database and Media Backup",資料庫和媒體備份
"Database Backup",資料庫備份
"The archive can be uncompressed with <a href=""%1"">%2</a> on Windows systems.","可以在Windows系統上使用<a href=""%1"">％2 </a>解壓縮歸檔。"
"You need more permissions to activate maintenance mode right now.",你現在需要更多的權限來啟動維護模式。
"To create the backup, please deselect ""Put store into maintenance mode"" or update your permissions.","若要創建備份，請取消選擇""置於維護模式存儲""，或更新您的權限。"
"Something went wrong while putting your store into maintenance mode.",將商店置於維護模式時出錯。
"You need more free space to create a backup.",你需要更多的可用空間來創建備份。
"You need more permissions to create a backup.",你需要更多的權限來創建一個備份。
"We can't create the backup right now.",我們現在無法建立備份。
Backups,備份
Backup,備份
"We can't delete one or more backups.",我們不能刪除一個或多個備份。
failed,失敗
successful,成功。
"You deleted the selected backup(s).",刪除所選的備份。
"Can't load snapshot archive",無法載入快照存檔
"Please correct the password.",請更正密碼。
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.",要完成回滾，請取消“將商店置於維護模式”或更新您的權限。
"We can't find the backup file.",我們找不到備份檔案。
"We can't connect to the FTP right now.","我們現在無法連接到 FTP。"
"Failed to validate FTP.","驗證 FTP 失敗。"
"You need more permissions to perform a rollback.",您需要更多權限才能執行回滾。
"Failed to rollback.",無法回滾。
"Database and Media",資料庫和媒體
"System (excluding Media)","系統 （不含媒體）"
"You created the system backup.",您創建了系統備份。
"You created the system backup (excluding media).","你創建了系統備份 （不包括媒體）。"
"You created the database and media backup.",您創建了資料庫和媒體備份。
"You created the database backup.",您創建了資料庫備份。
"Please correct the order of creation for a new backup.",請更正新備份的創建順序。
"The backup file does not exist.",備份檔案不存在。
"The backup file path was not specified.",未指定備份文件路徑。
"The backup file ""%1"" does not exist.","備份檔案""%1""不存在。"
"Sorry, but we cannot read from or write to backup file ""%1"".","抱歉，我們不能讀取或寫入備份文件""%1""。"
"The backup file handler was unspecified.",備份文件處理程序未指定。
"Something went wrong while writing to the backup file ""%1"".",寫入備份文件“%1”時發生錯誤。
"You will lose any data created since the backup was made, including admin users, customers and orders.",您將丟失備份後創建的任何數據，包括管理員用戶，客戶和訂單。
"Are you sure you want to continue?",你確定要繼續嗎？
"This may take a few moments.",這可能需要幾分鐘。
"Be sure your store is in maintenance mode during backup.",在備份期間，請確保您的商店處於維護模式。
"Backup Name",備份名稱
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","請在此欄位中使用字母 （a 到 z 或 A 到 Z），數位 (0-9) 或空格。"
"Maintenance mode",維護模式
"Please put your store into maintenance mode during backup.",請在備份期間將您的商店置於維護模式。
"Exclude media folder from backup",從備份中排除媒體檔案夾
"Please enter the password to confirm rollback.",請輸入密碼以確認回滾。
"This action cannot be undone.",此動作無法復原。
"User Password",使用者密碼
"Please put your store into maintenance mode during rollback processing.",請在回滾處理過程中，把您的商店進入維護模式。
"Use FTP Connection","使用 FTP 連接"
"FTP credentials","FTP 憑據"
"FTP Host","FTP 主機"
"FTP Login","FTP 登錄名"
"FTP Password","FTP 密碼"
"Magento root directory","Magento 根目錄"
"Create Backup",創建備份
Rollback,還原
"Scheduled Backup Settings",計劃備份設置
"Enable Scheduled Backup",啟用預設備份
"Backup Type",備份類型
"Maintenance Mode",維護模式
"Are you sure you want to delete the selected backup(s)?",確實要刪除所選的備份嗎？
Size(bytes),"大小 （bytes)"
"Edit Event",編輯事件
"Edit Event...",編輯活動...
"Add Event...",新增活動...
"You can't use more store credit than the order amount.",您不能使用比訂單金額更多的商店信用額。
"Read Details",詳細資料
"Mark as Read",已讀
"Messages Inbox",收件匣訊息
"You have %1 new system messages","你有 %1 條新訊息"
"You have %1 new system message","你有 %1 條新訊息"
"Incoming Message",收到訊息
close,關閉
Notifications,通知
"The message has been marked as Read.",訊息已標記為已讀。
"We couldn't mark the notification as Read because of an error.",系統未能標記錯誤提示為已讀。
"Please select messages.",請選擇訊息。
"A total of %1 record(s) have been marked as Read.","共有 %1 條記錄已標記為已讀。"
"Total of %1 record(s) have been removed.","共有 %1 條記錄已被刪除。"
"We couldn't remove the messages because of an error.",發生錯誤，我們未能刪除訊息。
"The message has been removed.",該訊息已被刪除。
"1 Hour","1 小時"
"2 Hours","2 小時"
"6 Hours","6 小時"
"12 Hours","12 小時"
"24 Hours","24 小時"
critical,關鍵
major,主要
minor,次要
notice,通知
"Wrong message type",錯誤訊息類型
"Wrong notification ID specified.","指定了錯誤的訊息 ID。"
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","在生產環境中不建議使用{{base_url}}作為加密／非加密的根網址，建議在Magento<a href=""%1"">設定</a>中更改為其他值。"
"One or more of the Cache Types are invalidated: %1. ","一個或多個緩存類型都將失效︰ %1。 "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","請前往<a href=""%1"">緩存管理</a>並刷新緩存類型。"
"We were unable to synchronize one or more media files. Please refer to the log file for details.",有些媒體檔案未能同步，詳請參考例外日誌。
"Synchronization of media storages has been completed.",媒體庫同步已完成。
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.",你的網站伺服器設定未有阻止存取敏感檔案，請聯絡服務供應商。
"System Messages:",系統訊息︰
"Critical System Messages",關鍵系統消息
"Major System Messages",主要系統消息
"System messages",系統訊息
"See All (",顯示全部（
" unread)",未讀）
"Show Toolbar",顯示工具列
"Show List",顯示清單
"Use HTTPS to Get Feed","使用 HTTPS 獲取資料"
"Update Frequency",更新頻率
Severity,嚴重程度
"Date Added",新增日期
"Close popup",關閉彈出式視窗
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","已顯示所有最新的系統通知。 要清除通知，請重新整理網頁。"
Banners,橫幅
"Add Banner",添加橫幅
"Save Banner",保存橫幅
"Delete Banner",刪除橫幅
"New Banner",新橫幅
"Default Content",預設內容
"No Default Content",沒有預設內容
"Banner Default Content for All Store Views",所有商店總覽的預設Banner
"Store View Specific Content",商店總覽特定內容
"Related Promotions",相關促銷活動
"Banner Properties",橫幅屬性
"Banner Name",橫幅名稱
"Any Banner Type",任何橫幅類型
"Specified Banner Types",指定的橫幅類型
"Specify Types",指定類型
"Banner Information",橫幅資訊
Banner,橫幅
"Banner Type",橫幅類型
"Are you sure you want to delete these banners?",確實要刪除這些橫幅嗎？
"Related Banners",相關橫幅
"This banner does not exist.",這面橫幅不存在。
"You deleted the banner.",你刪除了橫幅。
"Something went wrong while deleting banner data. Please review the action log and try again.",刪除橫幅資料時出了錯。請檢查動作記錄並再試一次。
"We cannot find a banner to delete.",我們找不到要刪除的橫幅。
"This banner no longer exists.",這面橫幅不存在。
"Edit Banner",編輯橫幅
"Please select a banner(s).",請選擇橫幅。
"You deleted %1 record(s).","你刪除 %1 記錄。"
"Something went wrong while mass-deleting banners. Please review the action log and try again.","大量刪除橫幅時出現問題。 請查看操作日誌，然後重試。"
"You saved the banner.",你保存了橫幅。
"We cannot save the banner.",我們無法保存橫幅。
"Please enter a name.",請輸入一個名稱。
"Please specify default content for at least one store view.",請最少於商店總覽內指定一項預設的內容
"-- None --","-- 無 --"
"Related Catalog Price Rules",相關目錄價格規則
"Manage Banners",管理橫幅
"Banner Rotator",旋轉Banner
"Displays Specified or Promotion Banners",顯示指定或促銷橫幅
"Banners to Display",顯示橫幅
"Specified Banners",指定的橫幅
"Shopping Cart Promotions Related",購物車促銷相關
"Catalog Promotions Related",目錄相關的促銷活動
"Restrict by Banner Types",按橫幅類型限制
"Rotation Mode",旋轉模式
"Display all instead of rotating",顯示全部而不是旋轉
"One at the time, Random",一次，隨機
"One at the time, Series",一次，系列
"One at the time, Shuffle",一次，洗牌
"Specify Banners",指定橫幅
"Banner Block Template",橫幅塊範本
"Banner Inline Template",橫幅內聯範本
"Sorry, there has been an error processing your request. Please try again later.",對不起，在處理您的請求時出現錯誤。請稍後重試。
"Wish List Sharing",分享願望清單
"My Wish List",我的願望清單
"Subscription status",訂閱狀態
"There was an error save new configuration value.",保存新配值時出現錯誤。
"Command was not found.",找不到命令。
TestMessage,測試訊息
"Apps and Games",應用程式和遊戲
"Athletic/Sporting Goods",體育/運動用品
"Art and Design",藝術與設計
Analytics,分析
"Invalid store parameter.",無效的存儲參數。
"Backup options",備份選項
Warning,警告
